tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.808223,9.094193,-2.365426,0.06081723,-0.9311198,-0.1828928,-0.3096248,8.366683
1.808223,9.094193,-2.365426,0.05889869,-0.934311,-0.1835196,-0.2998573,8.400017
1.808223,9.094193,-2.365426,0.05071993,-0.9461895,-0.1832816,-0.2618412,8.43335
1.808223,9.094193,-2.365426,0.0465537,-0.951706,-0.183058,-0.2420295,8.466683
1.808223,9.094193,-2.365426,0.04535459,-0.9532697,-0.1833588,-0.2357953,8.500016
1.808223,9.094193,-2.365426,0.04463421,-0.9541883,-0.1835355,-0.2320502,8.53335
1.808223,9.094193,-2.365426,0.03640693,-0.9635502,-0.1827218,-0.1919854,8.566684
1.808223,9.094193,-2.365426,0.02812845,-0.9714598,-0.180273,-0.1515793,8.600017
1.808223,9.094193,-2.365426,0.02812848,-0.9714598,-0.1802733,-0.1515793,8.63335
1.808223,9.094193,-2.365426,0.01041889,-0.9826614,-0.1757069,-0.05826889,8.666683
1.808223,9.094193,-2.365426,0.002940124,-0.9853702,-0.1695436,-0.0170877,8.700017
1.808223,9.094193,-2.365426,0.0002745795,-0.9857381,-0.1682788,-0.001608423,8.733351
1.808223,9.094193,-2.365426,-0.0003862303,-0.9857368,-0.1682785,0.002262447,8.766684
1.808223,9.094193,-2.365426,-0.0003862303,-0.9857368,-0.1682785,0.002262447,8.800017
1.808223,9.094193,-2.365426,-0.0003862303,-0.9857368,-0.1682785,0.002262447,8.83335
1.808223,9.094193,-2.365426,-0.0001659672,-0.9857389,-0.1682789,0.0009721973,8.866684
1.808223,9.094193,-2.365426,0.001774692,-0.9863352,-0.1643974,-0.01064762,8.900018
1.808223,9.094193,-2.365426,0.001774692,-0.9863352,-0.1643974,-0.01064762,8.933351
1.808223,9.094193,-2.365426,0.0147091,-0.9831564,-0.1572611,-0.09195758,8.966684
1.808223,9.094193,-2.365426,0.03377717,-0.9618979,-0.1396875,-0.2325919,9.000017
1.808223,9.094193,-2.365426,0.04137097,-0.9437212,-0.1294881,-0.3015155,9.033351
1.808223,9.094193,-2.365426,0.04845917,-0.9181154,-0.1186361,-0.3750217,9.066685
1.808223,9.094193,-2.365426,0.05215343,-0.902448,-0.1142105,-0.4120967,9.100018
1.808223,9.094193,-2.365426,0.05047427,-0.8576275,-0.08579621,-0.5045459,9.133351
1.808223,9.094193,-2.365426,0.04920827,-0.8493509,-0.0804787,-0.519331,9.166684
1.808223,9.094193,-2.365426,0.04400561,-0.8133352,-0.06205145,-0.5768006,9.200018
1.808223,9.094193,-2.365426,0.04497485,-0.8041748,-0.06135258,-0.5895049,9.233352
1.808223,9.094193,-2.365426,0.05172849,-0.7310893,-0.05577669,-0.6780278,9.266685
1.808223,9.094193,-2.365426,0.0542277,-0.7111914,-0.05519503,-0.6987272,9.300018
1.808223,9.094193,-2.365426,0.06125375,-0.6685423,-0.05540821,-0.7390732,9.333351
1.808223,9.094193,-2.365426,0.06190225,-0.659789,-0.05468275,-0.7468978,9.366685
1.808223,9.094193,-2.365426,0.0628957,-0.6158321,-0.04941676,-0.7838068,9.400019
1.808223,9.094193,-2.365426,0.06340974,-0.6075904,-0.04875542,-0.7902127,9.433352
1.808223,9.094193,-2.365426,0.06704705,-0.5217167,-0.04117749,-0.8494827,9.466685
1.808223,9.094193,-2.365426,0.06704705,-0.5217167,-0.04117749,-0.8494827,9.500018
1.808223,9.094193,-2.365426,0.06421616,-0.4548456,-0.03290563,-0.8876424,9.533352
1.808223,9.094193,-2.365426,0.06316602,-0.4173536,-0.02909521,-0.9060792,9.566686
1.808223,9.094193,-2.365426,0.06338919,-0.3693945,-0.025266,-0.9267638,9.600019
1.808223,9.094193,-2.365426,0.06427245,-0.3351864,-0.02292622,-0.9396774,9.633352
1.808223,9.094193,-2.365426,0.06642331,-0.2955162,-0.02060149,-0.9528031,9.666685
1.808223,9.094193,-2.365426,0.06642331,-0.2955162,-0.02060149,-0.9528031,9.700019
